Code, Lmax,linf,to,K ,A50,Amax,L50,Fec,L50.Lmax,Adult,Z/k,Mort,Avail,Encout,Value,cien. Name,Ocean,Sp,SYM Fam,CAT OCE
BUMind,430,,-2.1,0.14,3,28,206.8,4.15,0.48,NA,3.26,50,High,High,BY/KC,Makaira nigricans,Indian,BUM,IST,INDBY/KC
SFAind,350,,-4.5,,5,12,166,2.15,0.47,NA,0.96,60,High,High,BY/KC,Istiophorus platypterus,Indian,SFA,IST,INDBY/KC
BLMind,360,,,0.09,3.5,20,222.5,,0.62,NA,2.34,0,High,High,BY/KC,Istiompax indica ,Indian,BLM,IST,INDBY/KC
SSPind,267,,,,4,,131,,0.49,100,2.36,NA,High,High,BY/KC,Tetrapturus angustirostris,Indian,SSP,IST,INDBY/KC
MLSind,314,,-1.47,0.485,2.5,8.5,189,3.186,0.6,100,2.82,17,High,High,BY/KC,Kajikia audax ,Indian,MLS,IST,INDBY/KC
WAHind,162,,,,0.58,,104.6,2.88,0.65,76,NA,NA,High,High,BY/KC,Acanthocybium solandri ,Indian,WAH,SCO,INDBY/KC
EUTind,100,117,-0.3,0.56,,6,37.7,0.886,0.38,NA,NA,NA,Low,High,BY/KA,Euthynnus affinis,Indian,EUT,SCO,INDBY/KA
SKJind,110,92,-0.0012,0.5,2,10,41,0.665,0.37,NA,NA,85,High,High,BY/KA,Katsuwonus pelamis ,Indian,SKJ,SCO,INDBY/KA
ALBind,164,171.4,,0.126,5.5,13,87,1.545,0.53,55,1.28,91,High,High,T,Thunnus alalunga ,Indian,ALB,SCO,INDT
YFTind,240,197.42,0.1157,0.3,2.4,9,77.8,2.5,0.32,93,"1,044",56,High,High,T,Thunnus albacares ,Indian,YFT,SCO,INDT
BETind,200,168.99,-0.34,0.15,3,8,118.6,4.7,0.59,74,1.14,65,High,High,T,Thunnus obesus ,Indian,BET,SCO,INDT
SBFind,254,207.7,-0.394,0.128,8,42,155,10.5,0.61,51.1,0.69,58,Moderate,High,T,Thunnus maccoyii,Indian,SBF,SCO,INDT
SNKind,110,91,-0.25,0.42,3,10,55,,0.5,NA,NA,41,Low,High,BY/D,Thyrsites atun,Indian,SNK,GEM,INDBY/D
SWOind,455,,-0.4,0.08,4,18,148,2.64,0.33,88,1.8,80,High,High,T,Xiphias gladius ,Indian,SWO,XIP,INDT
POAind,61,,,,,,,,0.54,93,NA,NA,High,Moderate,BY/KA,Brama brama,Indian,POA,BRA,INDBY/KA
DOLind,180,,,0.72,,,51,1.3,0.28,99,0.741,25,High,High,BY/KC,Coryphaena hippurus,Indian,DOL,COR,INDBY/KC
LECind,160,,,,,,81,,0.51,100,1.23,19,Low,Moderate,BY/D,Lepidocybium flavobrunneum,Indian,LEC,GEM,INDBY/D
LAGind,200,,,,,,,,0.5,64,NA,NA,High,Moderate,BY/KC,Lampris guttatus,Indian,LAG,LAM,INDBY/KC
OILind,206,,,,,,,,0.5,18,6.95,19,Low,Moderate,BY/D,Ruvettus pretiosus,Indian,OIL,GEM,INDBY/D
ALXind,170,,,,,,85.74,,0.5,88,0.74,72,High,Low,BY/D,Alepisaurus ferox,Indian,ALX,ALE,INDBY/D
GESind,130,,,,,,,,0.52,100,0.8,NA,High,Moderate,BY/D,Gempylus serpens,Indian,GES,GEM,INDBY/D
RZVind,60,,,,,,,,0.54,100,NA,NA,High,High,BY/D,Ranzania laevis,Indian,RZV,MOL,INDBY/D
GBAind,143,,,,,,104,2.885,0.73,64,NA,NA,Low,High,BY/KA,Sphyraena barracuda,Indian,GBA,SPH,INDBY/KA
RRUind,82.4,,,,,,,,0.53,NA,NA,NA,Low,High,BY/KA,Elagatis bipinnulata,Indian,RRU,CAR,INDBY/KA
TRIind,270,,,,,,,,0.49,NA,NA,NA,Moderate,Low,BY/D,Trachipterus ishikawaeÂ ,Indian,TRI,TRA,INDBY/D
TSTind,75,,,,,,,,0.53,40,NA,NA,Low,Low,BY/D,Taractichthys steindachneri,Indian,TST,BRA,INDBY/D
BUKind,164,,,,,,,,0.51,NA,NA,NA,Moderate,Low,BY/D,Gasterochisma melampus,Indian,BUK,SCO,INDBY/D
BUMatl,423,,,,2,23,256.43,5.18501,0.61,74,2.27,100,High,High,BY/KC,Makaira nigricans ,S.Atlantic,BUM,IST,ATLBY/KC
SAIatl,270,,-1.246,0.15,,10,180.2,0.91,0.67,83,1.38,90,High,High,BY/KC,Istiophorus albicans,S.Atlantic,SAI,IST,ATLBY/KC
SPGatl,237,,,,,,,,0.49,53,0.93,100,High,High,BY/KC,Tetrapturus georgii,S.Atlantic,SPG,IST,ATLBY/KC
WHMatl,290,,,0.43,3.5,15,150.4,0.3933,0.52,80,1.22,77.8,High,High,BY/KC,Kajikia albidus,S.Atlantic,WHM,IST,ATLBY/KC
SPFatl,227,,-1.07,0.58,,7,170,,0.75,79,0.66,NA,High,High,BY/KC,Tetrapturus pfluegeri ,S.Atlantic,SPF,IST,ATLBY/KC
WAHatl,197,,-1.63,0.38,2,9,110,1.317235,0.56,11,1.66,83.3,Moderate,High,BY/KC,Acanthocybium solandri ,S.Atlantic,WAH,SCO,ATLBY/KC
BLTatl,66,,-0.01,0.39,2,5,34.4,,0.52,NA,NA,NA,Low,High,BY/KC,Auxis rochei ,S.Atlantic,BLT,SCO,ATLBY/KC
FRIatl,65,,-0.83,0.32,,,,,0.53,NA,NA,NA,Low,High,BY/KC,Auxis thazard,S.Atlantic,FRI,SCO,ATLBY/KC
LTAatl,100,115,-1.71,0.19,,8,35,1.135,0.35,NA,NA,NA,Low,High,BY/KC,Euthynnus alleteratus ,S.Atlantic,LTA,SCO,ATLBY/KC
SKJatl,85,87.08,2.071,0.22,3,12,51,0.6705,0.6,74.64,NA,NA,High,High,BY/KC,Katsuwonus pelamis ,S.Atlantic,SKJ,SCO,ATLBY/KC
BOMatl,77,74.61,-2.74,0.22,,7,38,0.727,0.49,NA,NA,NA,Low,High,BY/KC,Sarda sarda,S.Atlantic,BOM,SCO,ATLBY/KC
BRSatl,80.5,109.18,-0.414,0.11,3.8,8,42,0.87,0.52,NA,NA,NA,Low,High,BY/KC,Scomberomorus brasiliensis ,S.Atlantic,BRS,SCO,ATLBY/KC
KGMatl,114.8,132.7,0.387,0.16,5,15,70,6.14,0.61,NA,NA,NA,Low,High,BY/KC,Scomberomorus cavalla ,S.Atlantic,KGM,SCO,ATLBY/KC
CERatl,94,,,,2,,38,1.195,0.4,NA,NA,NA,Low,High,BY/KC,Scomberomorus regalis ,S.Atlantic,CER,SCO,ATLBY/KC
ALBatl,130,147.5,-1.89,0.13,5,15,90,0.85,0.69,64,1.62,90.9,High,High,T,Thunnus alalunga ,S.Atlantic,ALB,SCO,ATLT
YFTatl,248,230.7,-0.081,0.27,3.4,6.5,140,2.1,0.56,46,0.79,69.3,High,High,T,Thunnus albacares ,S.Atlantic,YFT,SCO,ATLT
BLFatl,90,91,-0.22,0.62,,5,51,0.7063045,0.56,98,1.08,NA,Low,High,BY/KC,Thunnus atlanticus ,S.Atlantic,BLF,SCO,ATLBY/KC
BETatl,210,226.25,-0.9,0.15,3,9,87,3.971328,0.41,97,1.11,49.7,High,High,T,Thunnus obesus ,S.Atlantic,BET,SCO,ATLT
SWOatl,357,414,-1.923,0.09,,14,156,5.1,0.44,56.55,2.4,89.6,High,High,T,Xiphias gladius ,S.Atlantic,SWO,XIP,ATLT
ALOatl,89.4,,,,,,,,0.53,NA,NA,62.5,High,Low,BY/D,Alepisaurus brevirostris,S.Atlantic,ALO,ALE,ATLBY/D
ALXatl,127,,,,,,,,0.51,NA,NA,62.5,High,Low,BY/D,Alepisaurus ferox,S.Atlantic,ALX,ALE,ATLBY/D
POAatl,88.7,,,,,,,,0.53,NA,NA,NA,Moderate,Low,BY/KA,Brama brama,S.Atlantic,POA,BRA,ATLBY/KA
CFWatl,110.1,,,0.5,,4.5,,,0.52,NA,NA,NA,High,High,BY/KC,Coryphaena equiselis,S.Atlantic,CFW,COR,ATLBY/KC
DOLatl,183,194.1,0.0811,0.9,0.33,1.8,68,0.5115,0.37,99,0.74,25,High,High,BY/KC,Coryphaena hippurus,S.Atlantic,DOL,COR,ATLBY/KC
RRUatl,100,,,,,,64.3,2.00204,0.64,NA,NA,NA,Low,High,BY/KC,Elagatis bipinnulata,S.Atlantic,RRU,CAR,ATLBY/KC
GESatl,204,,,,,,,0.65,0.5,NA,NA,NA,High,Moderate,BY/D,Gempylus serpens,S.Atlantic,GES,GEM,ATLBY/D
LAGatl,175,,,,,,,8.45,0.5,NA,NA,0,Moderate,Moderate,BY/KC,Lampris guttatus,S.Atlantic,LAG,LAM,ATLBY/KC
LECatl,173,,,,,,32,,0.18,NA,NA,NA,Low,Moderate,BY/KC,Lepidocybium flavobrunneum,S.Atlantic,LEC,GEM,ATLBY/KC
MOXtl,333,,,,,,,,0.48,NA,NA,0,High,Moderate,BY/D,Mola mola ,S.Atlantic,MOX,MOL,ATLBY/D
NENatl,105,,,,,,,,0.52,NA,NA,NA,Low,Low,BY/D,Nesiarchus nasutus,S.Atlantic,NEN,GEM,ATLBY/D
RZVatl,100,,,,,,,,0.52,NA,NA,NA,High,High,BY/D,Ranzania laevis,S.Atlantic,RZV,MOL,ATLBY/D
OILatl,164.4,148.1,0,,,,106,22,0.64,57.2,NA,NA,Low,Moderate,BY/KC,Ruvettus pretiosus,S.Atlantic,OIL,GEM,ATLBY/KC
GBAatl,105,123.6,-0.71,0.26,2.5,18.4,52,,0.5,NA,NA,NA,Low,High,BY/KC,Sphyraena barracuda,S.Atlantic,GBA,SPH,ATLBY/KC
